               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.038082,             0.05647,                   0,             0.87424,             0.94795,             0.94487,             0.55657,            0.031981,            0.037989,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.037265,            0.061881,                   0,             0.87424,             0.94795,             0.94487,             0.55657,            0.031981,            0.037989,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.035125,            0.059501,                   0,             0.94243,             0.93013,             0.96032,             0.58853,            0.030056,             0.03754,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.034507,            0.073954,                   0,             0.95408,             0.92045,             0.96461,             0.56843,            0.030767,            0.037613,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.036322,            0.064657,                   0,             0.88094,             0.92045,             0.93072,             0.48918,            0.033888,             0.03834,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.038202,            0.056112,                   0,             0.88094,             0.92045,             0.93072,             0.48918,            0.033888,             0.03834,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.035006,            0.057514,                   0,             0.93264,               0.944,             0.96709,              0.5289,            0.032941,            0.038237,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.035726,            0.078056,                   0,             0.96219,             0.93182,             0.96191,             0.58775,            0.030405,            0.037483,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.035094,            0.065108,                   0,             0.96588,             0.96498,             0.96453,             0.59578,            0.030305,            0.037197,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03417,            0.060127,                   0,             0.96588,             0.96498,             0.96453,             0.59578,            0.030305,            0.037197,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.034471,            0.055616,                   0,             0.94565,             0.96591,             0.96335,             0.61242,             0.02876,            0.036976,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.033113,            0.061866,                   0,             0.95471,             0.95816,             0.96624,              0.6104,            0.028724,            0.037088,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.031585,            0.053991,                   0,              0.9449,             0.97431,             0.96492,              0.5935,            0.030665,            0.037235,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.035432,            0.061169,                   0,              0.9449,             0.97431,             0.96492,              0.5935,            0.030665,            0.037235,                   0,            0.001783,            0.001783,            0.001783
